Col37,Col38
150,4095,681
151,4095,681
152,4095,680
153,4095,679
154,4095,681
155,4095,680
156,4095,682
157,4095,681
158,4095,682
159,4095,679
160,4095,680
161,4095,681
162,4095,680
163,4095,682
164,4095,682
165,4095,681
166,4095,680
167,4095,681
168,4095,681
169,4095,680
170,4095,682
171,4095,681
172,4095,682
173,4095,680
174,4095,681
175,4095,681
176,4095,680
177,4095,682
178,4095,682
179,4095,682
180,4095,681
181,4095,680
182,4095,681
183,4095,681
184,4095,683
185,4095,682
186,4095,680
187,4095,681
188,4095,680
189,4095,682
190,4095,679
191,4095,683
192,4095,682
193,4095,682
194,4095,680
195,4095,680
196,4095,681
197,4095,680
198,4095,682
199,4095,681
200,4095,682
201,4095,681
202,4095,680
203,4095,681
204,4095,681
205,4095,682
206,4095,682
207,4095,681
208,4095,680
209,4095,680
210,4095,683
211,4095,680
212,4095,682
213,4095,683
214,4095,682
215,4095,680
216,4095,681
217,4095,681
218,4095,680
219,4095,683
220,4095,681
221,4095,683
222,4095,680
223,4095,680
224,4095,681
225,4095,680
226,4095,682
227,4095,681
228,4095,682
229,4095,680
230,4095,680
231,4095,681
232,4095,681
233,4095,682
234,4095,682
235,4095,682
236,4095,680
237,4095,680
238,4095,681
239,4095,680
240,4095,683
241,4095,681
242,4095,682
243,4095,679
244,4095,680
245,4095,680
246,4095,681
247,4095,683
248,4095,682
249,4095,682
250,4095,679
251,4095,681
252,4095,681
253,4095,680
254,4095,674
255,4095,680
256,4095,681
257,4095,680
258,4095,683
259,4095,683
260,4095,682
261,4095,679
262,4095,680
263,4095,681
264,4095,681
265,4095,683
266,4095,682
267,4095,682
268,4095,681
269,4095,680
270,4095,682
271,4095,683
272,4095,681
273,4095,680
274,4095,680
275,4095,681
276,4095,680
277,4095,683
278,4095,683
279,4095,683
280,4095,679
281,4095,680
282,4095,680
283,4095,681
284,4095,683
285,4095,682
286,4095,682
287,4095,680
288,4095,680
289,4095,682
290,4095,680
291,4095,682
292,4095,683
293,4095,682
294,4095,680
295,4095,681
296,4095,681
297,4095,679
298,4095,682
299,4095,682
300,4095,681
301,4095,680
302,4095,681
303,4095,681
304,4095,680
305,4095,681
306,4095,681
307,4095,682
308,4095,679
309,4095,679
310,4095,681
311,4095,680
312,4095,682
313,4095,682
314,4095,681
315,4095,680
316,4095,680
317,4095,681
318,4095,680
319,4095,682
320,4095,681
321,4095,681
322,4095,680
323,4095,680
324,4095,681
325,4095,680
326,4095,682
327,4095,681
328,4095,682
329,4095,681
330,4095,680
331,4095,680
332,4095,680
333,4095,682
334,4095,683
335,4095,683
336,4095,681
337,4095,681
338,4095,682
339,4095,679
340,4095,683
341,4095,682
342,4095,683
343,4095,680
344,4095,680
345,4095,681
346,4095,680
347,4095,683
348,4095,682
349,4095,681
350,4095,680
351,4095,679
352,4095,681
353,4095,680
354,4095,682
355,4095,681
356,4095,682
357,4095,680
358,4095,679
359,4095,682
360,4095,679
361,4095,682
362,4095,682
363,4095,683
364,4095,680
365,4095,680
366,4095,681
367,4095,680
368,4095,682
369,4095,683
370,4095,682
371,4095,680
372,4095,680
373,4095,681
374,4095,680
375,4095,682
376,4095,682
377,4095,682
378,4095,680
379,4095,680
380,4095,681
381,4095,679
382,4095,683
383,4095,682
384,4095,682
385,4095,680
386,4095,679
387,4095,681
388,4095,680
389,4095,682
390,4095,681
391,4095,682
392,4095,680
393,4095,680
394,4095,681
395,4095,680
396,4095,680
397,4095,683
398,4095,681
399,4095,681
400,4095,679
401,4095,680
402,4095,681
403,4095,680
404,4095,683
405,4095,683
406,4095,681
407,4095,680
408,4095,680
409,4095,681
410,4095,681
411,4095,683
